Vd	Vo
98	3360
98	3360
98	3360
98	3360
98	3360
98	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3320
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3320
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
98	3360
96	3360
98	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3320
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3320
96	3320
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
96	3320
96	3320
98	3320
98	3320
98	3320
96	3320
96	3320
96	3320
96	3320
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3320
96	3360
98	3360
96	3360
98	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
98	3320
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3320
96	3320
98	3360
98	3360
96	3360
96	3360
98	3320
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
98	3320
98	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
98	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3320
96	3320
96	3360
96	3360
96	3360
96	3320
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
98	3360
98	3360
98	3360
98	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3320
98	3360
96	3360
96	3320
96	3360
98	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3320
98	3320
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3320
96	3360
96	3360
96	3360
98	3360
98	3360
98	3360
98	3360
98	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3320
96	3360
96	3360
98	3360
96	3320
96	3320
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3320
96	3360
96	3360
98	3360
98	3360
98	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
98	3320
96	3320
96	3360
98	3360
96	3360
96	3360
96	3320
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
98	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3320
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3320
96	3320
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3320
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3320
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3320
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
98	3360
98	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3320
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3320
96	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
98	3360
98	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3320
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3320
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3320
96	3320
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3320
96	3320
96	3320
96	3360
96	3360
96	3360
96	3360
96	3320
96	3320
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3320
96	3320
96	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
98	3360
98	3360
98	3360
98	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3320
96	3360
96	3360
96	3320
96	3320
96	3360
96	3360
96	3360
96	3320
96	3320
96	3320
96	3320
96	3320
96	3320
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3320
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3320
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
98	3360
96	3320
96	3320
96	3320
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
98	3320
96	3360
96	3320
96	3320
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3320
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
98	3360
98	3360
98	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
98	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3320
96	3320
96	3360
96	3360
98	3360
96	3360
98	3360
96	3360
98	3320
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3320
96	3360
98	3360
98	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
98	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
98	3360
98	3320
98	3360
98	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
98	3320
98	3360
96	3360
96	3360
96	3360
98	3320
98	3360
96	3360
98	3360
96	3360
96	3360
98	3360
96	3360
98	3360
98	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3320
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
96	3320
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3320
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3320
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
98	3320
96	3360
98	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3320
98	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
98	3360
96	3360
98	3360
98	3360
98	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3320
96	3320
96	3320
96	3360
96	3360
96	3320
96	3360
96	3360
96	3320
96	3360
98	3320
98	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
98	3320
96	3320
96	3320
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3320
96	3360
96	3320
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
98	3360
98	3360
96	3360
96	3320
96	3360
96	3320
98	3360
98	3360
98	3360
98	3360
98	3320
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3320
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
98	3360
98	3360
98	3360
98	3360
98	3360
98	3360
98	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
98	3360
98	3360
98	3360
96	3360
98	3360
98	3360
98	3360
98	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3320
96	3320
96	3320
96	3320
96	3320
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3320
96	3360
96	3360
96	3320
98	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
98	3360
98	3360
98	3360
96	3320
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3320
96	3320
96	3320
96	3320
96	3320
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3320
96	3360
96	3360
96	3320
96	3320
96	3320
96	3320
96	3320
96	3320
96	3320
96	3320
96	3320
96	3360
96	3360
98	3360
96	3360
96	3360
96	3320
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
98	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3320
96	3320
96	3320
96	3360
96	3360
96	3320
96	3320
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3320
96	3360
96	3320
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3320
96	3320
96	3320
96	3360
98	3360
96	3360
96	3360
98	3360
98	3360
96	3360
98	3360
98	3360
98	3360
96	3360
98	3360
98	3360
98	3360
96	3360
98	3360
98	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
98	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
96	3320
96	3320
96	3360
96	3360
96	3360
96	3360
98	3360
96	3320
96	3360
98	3360
98	3360
96	3360
96	3320
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
96	3360
98	3360
96	3360
98	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3360
96	3320
96	3360
98	3360
98	3360
98	3360
98	3360
96	3360
96	3360
96	3360
96	3360
98	3360
96	3360
96	3360
96	3360
96	3360
